BS;1
BW;1
CG;1
FJ;1
GE;1
GH;1
LU;1
MH;1
MU;1
MW;1
QA;1
SO;1
CV;2
LB;2
MV;2
TZ;2
MM;3
NO;3
SB;3
SK;3
UZ;3
EE;4
PH;4
TO;4
UG;4
AE;5
LT;5
BO;6
GY;6
LR;6
LV;6
MK;6
AF;7
AM;7
BA;7
HU;7
NC;7
BY;8
HR;9
NG;9
KZ;10
BG;11
AZ;13
CZ;13
PL;13
LK;14
AR;15
CO;16
BD;18
VE;18
AT;22
DK;22
FI;26
RO;26
RS;28
GS;30
TW;30
UA;30
SI;31
GT;33
BE;35
NP;36
PT;37
TR;37
ZW;43
CL;45
IL;46
KW;46
MX;48
SE;51
DE;53
BR;54
NZ;59
KR;62
ES;65
IR;69
IT;69
JP;69
CH;76
RU;80
EG;84
SA;85
IQ;87
SG;102
FR;105
OM;105
HK;124
DZ;128
GL;137
ZA;141
KE;146
UM;165
GR;197
ID;214
PK;234
TH;286
IE;379
MY;382
AU;417
MA;424
CN;526
CA;640
NL;808
IN;1295
PE;1314
GB;4464
US;10432
